Hours since 00:00 Jan 1,System power generated (kW)
826,0.618389
827,0.697626
828,0.718413
829,0.684519
830,0.59172
831,0.44185
832,0.221745
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0.0671432
848,0.283382
849,0.482624
850,0.623172
851,0.702961
852,0.726182
853,0.690949
854,0.597836
855,0.444055
856,0.105137
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0.0353959
872,0.0708916
873,0.235437
874,0.298522
875,0.265186
876,0.491717
877,0.401983
878,0.20723
879,0.0331391
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0.10712
897,0.098029
898,0.160826
899,0.332203
900,0.0652976
901,0.11104
902,0.0270115
903,0.100145
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0.0665379
920,0.277464
921,0.468444
922,0.605498
923,0.68499
924,0.704581
925,0.672094
926,0.586957
927,0.443918
928,0.227736
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0.0699472
944,0.277229
945,0.464748
946,0.599388
947,0.682533
948,0.712524
949,0.689918
950,0.604889
951,0.455868
952,0.246887
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0.0718167
968,0.285011
969,0.468517
970,0.597729
971,0.67752
972,0.710292
973,0.686265
974,0.596789
975,0.450992
976,0.112197
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0.0186356
992,0.144196
993,0.0779287
994,0.354062
995,0.289082
996,0.489528
997,0.403302
998,0.245338
999,0.0176191
1000,0.00586319
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0.0742568
1016,0.28783
1017,0.338059
1018,0.434396
1019,0.563453
1020,0.0979739
1021,0.404934
1022,0.351644
1023,0.0225378
1024,0.236512
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0.00337287
1041,0.0478295
1042,0.0179214
1043,0.209945
1044,0.0745888
1045,0.128768
1046,0.64301
1047,0.481751
1048,0.122408
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0.07976
1064,0.296487
1065,0.495431
1066,0.652282
1067,0.73863
1068,0.763758
1069,0.297433
1070,0.636959
1071,0.215245
1072,0.247304
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
